created_at,closed_at,summary,address
2017-01-31T13:30:46-05:00,,Restaurant Complaint,"5215 W Chicago Ave CHICAGO, IL 60651"
2017-01-31T13:27:50-05:00,,Sign Missing Investigation,"1474-1498 Columbia Road Northwest Washington, District of Columbia"
2017-01-31T13:23:02-05:00,,Other,"3929 Wabash Avenue Hammond, Indiana"
2017-01-31T13:22:51-05:00,,(EONP)60 Front St. ,"60 Front St New Haven, CT 06513, USA"
2017-01-31T13:22:45-05:00,2017-02-01T20:21:51-05:00,Illegal Dumping,"561-599 37th Street Oakland, California"
2017-01-31T13:15:38-05:00,,(EONP)Columbus Ave. ,"Columbus Ave New Haven, CT 06519, USA"
2017-01-31T13:12:52-05:00,,Street Light Repair,"757 Puu Kala  Honolulu, Hawaii"
2017-01-31T13:12:39-05:00,,Tree Trimming/Removal,"6433-6445 4th Street North Saint Petersburg, Florida"
2017-01-31T13:09:52-05:00,,Park Maintenance,"4497-4527 Fleming Ave Oakland, CA 94619, USA"
2017-01-31T13:08:35-05:00,,Pothole,"900e 5400 South Salt Lake City, Utah"
2017-01-31T13:01:51-05:00,,Inoperable vehicle on street ,"17610 Browning Trace Richmond, Texas"
2017-01-31T13:01:29-05:00,,Parking Meter,"1388-1418 Chapel Street New Haven, Connecticut"
2017-01-31T13:00:42-05:00,,(EONP)Crown St. ,"Crown St New Haven, CT, USA"
2017-01-31T13:00:39-05:00,,down branches and loose power line ,"3635-3645 Southeast Rhine Street Portland, Oregon"
2017-01-31T13:00:09-05:00,,Illegal dump,"2926 39th St Sacramento, CA 95817, USA"
2017-01-31T12:58:14-05:00,,Yard waste,"1508 Clabronine Richmond, Virginia"
2017-01-31T12:57:09-05:00,,Illegal encampment/trash,"1520 Lakeside Drive Oakland, California"
2017-01-31T12:54:58-05:00,2017-02-16T16:17:04-05:00,JONES COURT,"Jones Court  Between 12th And 13th Street Canton, Ohio"
2017-01-31T12:50:55-05:00,,Traffic light needed,"Asbury Dr And Rock Chapel Road Lithonia, Georgia"
2017-01-31T12:50:19-05:00,,Sidewalk Repair,"631-633 North Capitol St Ne Washington, DC 20002, USA"
2017-01-31T12:50:14-05:00,,Sidewalk Repair,"631-633 North Capitol St Ne Washington, DC 20002, USA"
2017-01-31T12:50:11-05:00,,Sidewalk Repair,"631-633 North Capitol St Ne Washington, DC 20002, USA"
2017-01-31T12:41:22-05:00,,Graffiti,"100 5th Street South Saint Petersburg, Florida"
2017-01-31T12:39:05-05:00,,Black and White Shih Tzu lost on 1/28/17,"1920 Mill Branch Road Bowie, Maryland"
2017-01-31T12:36:59-05:00,,Other - city responsibility,"349 Ellsworth Avenue New Haven, Connecticut"
2017-01-31T12:36:10-05:00,,Post to Neighbors,"880 36th Street Oakland, California"
2017-01-31T12:33:17-05:00,,SNOW RELATED,"Townsend Ave New Haven, Connecticut"
2017-01-31T12:30:47-05:00,,SNOW RELATED,"Woodward Avenue New Haven, CT"
2017-01-31T12:27:40-05:00,,SNOW RELATED,"195 Dyer Street New Haven, CT"
2017-01-31T12:27:30-05:00,,Bees in house,"6138 9th Avenue South Gulfport, Florida"
2017-01-31T12:27:29-05:00,,Icy Road Conditions ,"185 Goffe Street New Haven, Connecticut"
2017-01-31T12:25:45-05:00,,Street/Traffic Issue (Other than Pothole),"Warren Fwy Oakland, CA 94611, USA"
2017-01-31T12:24:05-05:00,,Streets and Sidewalks,"1158 Northampton Street Holyoke, Massachusetts"
2017-01-31T12:21:50-05:00,,Pothole,"6101 Hillegass Ave Oakland, CA 94618, USA"
2017-01-31T12:21:19-05:00,,Graffiti,"2701-2799 Webster St Oakland, CA 94612, USA"
2017-01-31T11:57:22-05:00,,Street/Traffic Issue (Other than Pothole),"5832 Nottingham Drive Oakland, CA"
2017-01-31T11:50:01-05:00,,Pot holes & van violating parking snow bans and obstruction,Williams St Methuen  Massachusetts
2017-01-31T11:49:22-05:00,,Pot Holes,"76-88 Mcclellan Street Newark, New Jersey"
2017-01-31T11:49:22-05:00,,Light is out. ,"223 Magnolia Springs Dr CANTON/CHEROKEE, Georgia"
2017-01-31T11:48:20-05:00,,Streets and Sidewalks,"Dublin Drive Between Dellwood And Shamrock Greensboro, North Carolina"
2017-01-31T11:47:11-05:00,,Other - city responsibility,"28 Foxon Street New Haven, Connecticut"
2017-01-31T11:47:02-05:00,,Other,121 Third St
2017-01-31T11:46:06-05:00,,Other,"3300 Sharpe Ave Memphis, Tennessee"
2017-01-31T11:45:42-05:00,,Crack/Uneven Street ,"452 Beekman Road Hopewell Junction, New York"
2017-01-31T11:39:20-05:00,,Street Lamp,"Chapel West Area/Downtown New Haven, Connecticut"
2017-01-31T11:36:48-05:00,,Drains- Leaves,"239 Sherman Avenue New Haven, CT"
2017-01-31T11:31:52-05:00,,Illegal dump,"2329 Florin Rd Sacramento, CA 95822, USA"
2017-01-31T11:26:47-05:00,,Streets - Potholes/Depression,Santa Rita St & 39th Av ( & Rosedale Ave) 
2017-01-31T11:26:02-05:00,,Abandoned vehicle,"3924 44th Ave Sacramento, CA 95824, USA"
2017-01-31T11:25:09-05:00,,Pothole,"2751-2799 Montana Street Oakland, California"
2017-01-31T11:23:44-05:00,,Potholes,"3510 Montrose Ave. Richmond, Virginia"
